Data di inizio;Data di fine;Tipo risposta;Avanzamento;Durata (in secondi);Terminato;Data registrata;ID di risposta;Canale di distribuzione;Lingua dell'utente;"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Unforeseen events upset me greatly.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - It frustrates me not having all the information I need.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Uncertainty keeps me from living a full life.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - One should always look ahead so as to avoid surprises.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - A small unforeseen event can spoil everything, even with the best of planning.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When itü??s time to act, uncertainty paralyses me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Please, answer ""entirely characteristic of me"" to this item.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When I am uncertain I canü??t function very well.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I always want to know what the future has in store for me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I canü??t stand being taken by surprise.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - The smallest doubt can stop me from acting.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I should be able to organize everything in advance.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I must get away from all uncertain situations.";Please, type your age.;Please, select your gender.;Have you experienced any issues with the internet conncetion and/or the uploading of the pictures/sounds?;You have now successfully completed the survey, and you will be redirected to Prolific to complete your submission.If you have any comments please let us know by filling the box below.Thank you for your valuable contribution!;Total score;Prospective subscale;Inhibitory subscale;AttentionCheck;workerId;batchId;studyId;subject_nr;PROLIFIC_PID;SESSION_ID;STUDY_ID
20/07/2021 05:29;20/07/2021 05:31;Indirizzo IP;100;83;VERO;20/07/2021 05:31;R_2WYBHVQC7wms5QC;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;24;Female;No, everything worked fine!;;54;31;23;1;14680;507;496;23996;5c58c2ce2a84410001d3f522;60f6a6e82f8aaac86a28e472;60f57e67967f64a9e6d4f193
20/07/2021 04:20;20/07/2021 04:22;Indirizzo IP;100;133;VERO;20/07/2021 04:22;R_RLjgH837yuJguml;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;33;Male;No, everything worked fine!;;31;19;12;0;14602;507;496;23919;5c629b836e03a00001d47bdd;60f69d29a7f28aa91a03eb20;60f57e67967f64a9e6d4f193
20/07/2021 04:31;20/07/2021 04:33;Indirizzo IP;100;106;VERO;20/07/2021 04:33;R_3k6XaTAARjrPuUa;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;36;Female;No, everything worked fine!;;39;23;16;1;14630;507;496;23946;5c65838adbd7460001466166;60f69da649e8c3c25f16c89f;60f57e67967f64a9e6d4f193
20/07/2021 04:22;20/07/2021 04:25;Indirizzo IP;100;167;VERO;20/07/2021 04:25;R_tWhRjwj2bOxlcdP;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;25;Male;No, everything worked fine!;;32;20;12;1;14579;507;496;23896;5c6bc7c41373290001be096a;60f69c190598b0a8c233cf87;60f57e67967f64a9e6d4f193
20/07/2021 04:19;20/07/2021 04:21;Indirizzo IP;100;106;VERO;20/07/2021 04:21;R_2Bmxclh9GoztruG;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Very characteristic of me;Very characteristic of me;59;Female;No, everything worked fine!;Everything ran smoothly with no glitches :) ;30;21;9;1;14581;507;496;23898;5c71a74980a99f0001c63358;60f69c58415555442de0868e;60f57e67967f64a9e6d4f193
19/07/2021 09:23;19/07/2021 09:26;Indirizzo IP;100;183;VERO;19/07/2021 09:26;R_21oEEfGQm3qLTY3;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;31;Male;No, everything worked fine!;Thanks, Im fine!;46;29;17;1;14474;496;485;23773;5c9d4168368fa2001578c7a6;60f59146cb5ba487e1f31bf8;60e45f9daf7eec3fac4de4e2
20/07/2021 04:22;20/07/2021 04:24;Indirizzo IP;100;141;VERO;20/07/2021 04:24;R_33jbvTZyqbKR9Pa;anonymous;EN;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;22;Male;No, everything worked fine!;;36;23;13;1;14591;507;496;23908;5ca0aae22fd4860001a4d560;60f69cdee71395458c1f34ec;60f57e67967f64a9e6d4f193
19/07/2021 09:18;19/07/2021 09:20;Indirizzo IP;100;91;VERO;19/07/2021 09:20;R_1mla1CG6utJk1dG;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;20;Male;No, everything worked fine!;;42;24;18;1;14466;496;485;23766;5cab5929291df900165c1ff9;60f58fbb5fb2a4f18a61b797;60e45f9daf7eec3fac4de4e2
20/07/2021 05:13;20/07/2021 05:14;Indirizzo IP;100;67;VERO;20/07/2021 05:14;R_1cZgCp2BSXy0Rkh;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;25;Male;No, everything worked fine!;;38;22;16;1;14694;507;496;24010;5ccf022bafa2f60018c2e9bc;60f6a6f273ee78eab0c39def;60f57e67967f64a9e6d4f193
20/07/2021 11:10;20/07/2021 11:12;Indirizzo IP;100;140;VERO;20/07/2021 11:12;R_VLpb2EfZhdK5TvX;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;26;Male;No, everything worked fine!;;47;29;18;1;14881;507;496;24168;5cd1bdedf2156c00013b0152;60f6f532bc1c3a96e64316ed;60f57e67967f64a9e6d4f193
20/07/2021 05:04;20/07/2021 05:05;Indirizzo IP;100;81;VERO;20/07/2021 05:05;R_1q3bkCnUBNb6Ti8;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;26;Female;No, everything worked fine!;;42;27;15;1;14706;507;496;24022;5cd30b2041a6b8001874c41f;60f6a6fe6a29bfb1b5a778d8;60f57e67967f64a9e6d4f193
19/07/2021 09:22;19/07/2021 09:23;Indirizzo IP;100;69;VERO;19/07/2021 09:23;R_3Jtqj5bHAlS6qDU;anonymous;EN;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;29;Male;No, everything worked fine!;;24;17;7;1;14479;496;485;23777;5ce9761ed439ae001a596488;60f5927a312c6ce3069ff6da;60e45f9daf7eec3fac4de4e2
20/07/2021 05:11;20/07/2021 05:13;Indirizzo IP;100;95;VERO;20/07/2021 05:13;R_OHgalk51xBwtjRn;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;20;Female;No, everything worked fine!;;49;27;22;1;14777;507;496;24084;5cf5112194c4460019cd522b;60f6a89b00fab9d1177eef4a;60f57e67967f64a9e6d4f193
20/07/2021 04:28;20/07/2021 04:30;Indirizzo IP;100;126;VERO;20/07/2021 04:30;R_x6fwotZC0LXkR5T;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;40;Female;No, everything worked fine!;spelling mistake on last page - internet 'coneceton';43;28;15;1;14597;507;496;23914;5cff864ef87a0100019495c9;60f69d28ca1a53e3c4d703f9;60f57e67967f64a9e6d4f193
20/07/2021 05:08;20/07/2021 05:10;Indirizzo IP;100;79;VERO;20/07/2021 05:10;R_2tQj26ZUpMKwArT;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;28;Male;No, everything worked fine!;;37;22;15;1;14639;507;496;23955;5d135a82a9325400152a1831;60f6a6bf44936587611a7f9e;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:03;Indirizzo IP;100;29;VERO;20/07/2021 05:03;R_31L5fiiQiOIQxNu;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Entirely characteristic of me;20;Female;No, everything worked fine!;;46;31;15;1;14712;507;496;24028;5d21f63e4c6155001b9199e1;60f6a70b6b058cec05dc5d8b;60f57e67967f64a9e6d4f193
20/07/2021 05:11;20/07/2021 05:12;Indirizzo IP;100;84;VERO;20/07/2021 05:12;R_ApbO4QoNMUQBEhr;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;26;Female;No, everything worked fine!;;39;24;15;1;14770;507;496;24077;5d24cdafc8e8b700168c24c3;60f6a813ec9f1c1345806ed2;60f57e67967f64a9e6d4f193
19/07/2021 09:08;19/07/2021 09:10;Indirizzo IP;100;69;VERO;19/07/2021 09:10;R_3ET5znZOdDEjTjq;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;21;Female;No, everything worked fine!;-;27;15;12;1;14470;496;485;23769;5d284b5740e9f20016b29459;60f58fd8d90e8a34fa4ca55e;60e45f9daf7eec3fac4de4e2
20/07/2021 06:00;20/07/2021 06:08;Indirizzo IP;100;451;VERO;20/07/2021 06:08;R_w5JAFx4SzEFqkvv;anonymous;EN;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;33;Female;No, everything worked fine!;" A lot of sounds sounded really fake as hell and consequently left quite annoying aftertaste. I don't know what was worse: their fakeness or the cringe worth macarbe scene they wanted to imitate. 

Stupid shock value.
";32;19;13;1;14790;507;496;24097;5d2d98a9a0d896001a5d6e4f;60f6b3d402cb9ef088a4a491;60f57e67967f64a9e6d4f193
20/07/2021 05:04;20/07/2021 05:06;Indirizzo IP;100;94;VERO;20/07/2021 05:06;R_1pJq6ISBnPcKvHS;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;22;Female;No, everything worked fine!;;49;33;16;1;14710;507;496;24026;5d5587473250c6000159506c;60f6a6fc90972a45796c8bc2;60f57e67967f64a9e6d4f193
20/07/2021 05:05;20/07/2021 05:06;Indirizzo IP;100;60;VERO;20/07/2021 05:06;R_26eCDcummvQkFyz;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;24;Female;No, everything worked fine!;;58;34;24;1;14734;507;496;24049;5d6c12352e6bbb001a122cef;60f6a6dd7e7a972cd4e3b2ee;60f57e67967f64a9e6d4f193
20/07/2021 05:00;20/07/2021 05:01;Indirizzo IP;100;63;VERO;20/07/2021 05:01;R_2pLjb8s3m90eYgR;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;29;Female;No, everything worked fine!;;46;30;16;1;14648;507;496;23964;5da03c3607c83700140a3d8f;60f6a6c897e67c882496dffa;60f57e67967f64a9e6d4f193
20/07/2021 05:07;20/07/2021 05:09;Indirizzo IP;100;133;VERO;20/07/2021 05:09;R_1H5g3P9Q6G6eAV8;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;39;Male;No, everything worked fine!;Interesting study. Congrats.;24;15;9;1;14714;507;496;24030;5da8912f5a994b001650f01f;60f6a6eba79bf0e3f72e00c2;60f57e67967f64a9e6d4f193
20/07/2021 05:08;20/07/2021 05:10;Indirizzo IP;100;122;VERO;20/07/2021 05:10;R_3lSwJzlzJMM6pmB;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;31;Male;No, everything worked fine!;The survey was slow to load initially. Took several minutes to start. After that there were no issues;46;28;18;1;14760;507;496;24067;5decb11b9b8f2437f63f1d8b;60f6a7648de68ab35c4dc489;60f57e67967f64a9e6d4f193
20/07/2021 05:08;20/07/2021 05:09;Indirizzo IP;100;68;VERO;20/07/2021 05:09;R_2YnD5XzKwXnatx1;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;28;Male;No, everything worked fine!;;44;27;17;1;14652;507;496;23968;5e0e396901423f58bf9f6684;60f6a6d0a5eb1b5ebfea7d3a;60f57e67967f64a9e6d4f193
